Date,Region,Category,Product,Units,Revenue,Status
2024-01-05,North America,Electronics,Laptop Pro X,12,23988,Completed
2024-01-08,Europe,Clothing,Premium Jacket,45,6750,Completed
2024-01-12,Asia Pacific,Electronics,Wireless Earbuds,89,17800,Completed
2024-01-15,North America,Home & Garden,Smart Thermostat,23,5750,Cancelled
2024-01-18,Latin America,Clothing,Summer Dress,67,8040,Completed
2024-01-22,Europe,Electronics,Tablet Ultra,34,20400,Completed
2024-01-25,North America,Food & Beverage,Premium Coffee Set,156,7800,Completed
2024-01-28,Asia Pacific,Home & Garden,Robot Vacuum,18,12600,Completed
2024-02-02,Europe,Electronics,Smart Watch,78,27300,Completed
2024-02-05,North America,Clothing,Designer Shoes,34,13600,Cancelled
2024-02-09,Asia Pacific,Food & Beverage,Tea Collection,234,11700,Completed
2024-02-12,Latin America,Electronics,Budget Phone,123,30750,Completed
2024-02-15,Europe,Home & Garden,Garden Tool Set,45,4500,Completed
2024-02-18,North America,Electronics,Gaming Console,56,39200,Completed
2024-02-22,Asia Pacific,Clothing,Casual Wear,189,18900,Cancelled
2024-02-25,Europe,Food & Beverage,Wine Selection,67,13400,Completed
2024-03-01,North America,Home & Garden,Outdoor Grill,29,14500,Completed
2024-03-05,Latin America,Clothing,Formal Suit,18,12600,Completed
2024-03-08,Asia Pacific,Electronics,Laptop Pro X,45,89775,Completed
2024-03-12,Europe,Electronics,Smart Speaker,112,22400,Completed
2024-03-15,North America,Food & Beverage,Snack Bundle,345,17250,Completed
2024-03-18,Asia Pacific,Home & Garden,Air Purifier,67,26800,Completed
2024-03-22,Latin America,Electronics,Tablet Ultra,23,13800,Cancelled
2024-03-25,Europe,Clothing,Denim Collection,89,13350,Completed
2024-03-28,North America,Electronics,Monitor 4K,34,27200,Completed
2024-04-02,Asia Pacific,Food & Beverage,Protein Powder Set,156,23400,Completed
2024-04-05,Europe,Home & Garden,Smart Lock,78,15600,Completed
2024-04-08,North America,Clothing,Athleisure Bundle,234,35100,Completed
2024-04-12,Latin America,Electronics,Wireless Router,45,9000,Completed
2024-04-15,Asia Pacific,Electronics,Gaming Headset,89,22250,Completed
2024-04-18,Europe,Food & Beverage,Gourmet Spices,112,5600,Cancelled
2024-04-22,North America,Home & Garden,Smart Bulbs Pack,67,6700,Completed
2024-04-25,Asia Pacific,Clothing,Sportswear Set,145,21750,Completed
2024-04-28,Europe,Electronics,USB-C Hub,234,14040,Completed
2024-05-02,Latin America,Food & Beverage,Meal Kit Bundle,89,17800,Completed
2024-05-05,North America,Electronics,Webcam Pro,156,23400,Completed
2024-05-08,Asia Pacific,Home & Garden,Standing Desk,23,34500,Completed
2024-05-12,Europe,Clothing,Luxury Scarf,78,23400,Cancelled
2024-05-15,North America,Food & Beverage,Organic Tea Set,189,9450,Completed
2024-05-18,Latin America,Electronics,Bluetooth Speaker,112,16800,Completed
2024-05-22,Asia Pacific,Electronics,Drone Mini,34,20400,Completed
2024-05-25,Europe,Home & Garden,Indoor Plant Kit,67,6700,Completed
2024-05-28,North America,Clothing,Business Casual Set,89,26700,Completed
2024-06-02,Asia Pacific,Food & Beverage,Smoothie Maker,45,9000,Completed
2024-06-05,Europe,Electronics,Keyboard Mechanical,156,31200,Completed
2024-06-08,North America,Home & Garden,Security Camera,78,23400,Completed
2024-06-12,Latin America,Clothing,Summer Collection,234,35100,Cancelled
2024-06-15,Asia Pacific,Electronics,Power Bank XL,112,22400,Completed
2024-06-18,Europe,Food & Beverage,Cheese Selection,67,13400,Completed
2024-06-22,North America,Electronics,SSD External,189,37800,Completed
